address,region,house_size,property_size,sales_price,sales_date
"
          Ekstigen 3
        ","
            Ekerö Munsö,
          Ekerö kommun
        ","
                103
                ","
              3 397 m² tomt
            ","
            Slutpris 3 900 000 kr
        ","
            Såld 10 november 2022
          "
"
          Vansövägen 28
        ","
            Älvsjö - Örby,
          Stockholms kommun
        ","
                105
                ","
              915 m² tomt
            ","
            Slutpris 7 200 000 kr
        ","
            Såld 10 november 2022
          "
"
          Tyrs väg 5
        ","
            Ösmo,
          Nynäshamns kommun
        ","
                86
                ","
              605 m² tomt
            ","
            Slutpris 3 695 000 kr
        ","
            Såld 9 november 2022
          "
"
          Åsbacksvägen 2A
        ","
            Odenslunda,
          Upplands Väsby kommun
        ","
                131
                ","
              1 133 m² tomt
            ","
            Slutpris 4 900 000 kr
        ","
            Såld 9 november 2022
          "
"
          Utterstigen 11
        ","
            Värmdövik,
          Värmdö kommun
        ","
                105
                ","
              2 037 m² tomt
            ","
            Slutpris 6 300 000 kr
        ","
            Såld 9 november 2022
          "
"
          Tröskverksvägen 45
        ","
            Älvsjö/Långbro,
          Stockholms kommun
        ","
                68
                ","
              612 m² tomt
            ","
            Slutpris 7 475 000 kr
        ","
            Såld 9 november 2022
          "
"
          Ribby allé 18
        ","
            Västerhaninge/Ribby Ängar,
          Haninge kommun
        ","
                122 m²
             
              5 rum
          ","
              309 m² tomt
            ","
            Slutpris 4 670 000 kr
        ","
            Såld 9 november 2022
          "
"
          Venusvägen 8C
        ","
            Solgård,
          Huddinge kommun
        ","
                138
                ","
              1 218 m² tomt
            ","
            Slutpris 5 425 000 kr
        ","
            Såld 9 november 2022
          "
"
          Marielundsvägen
        ","
            Adelsö Stenby,
          Ekerö kommun
        ","
                130 m²
             
              4 rum
          ","
              3 131 m² tomt
            ","
            Slutpris 5 750 000 kr
        ","
            Såld 9 november 2022
          "
"
          Klevbergsvägen 7
        ","
            Stenhamra,
          Ekerö kommun
        ","
                145 m²
             
              6 rum
          ","
              771 m² tomt
            ","
            Slutpris 5 200 000 kr
        ","
            Såld 9 november 2022
          "
"
          Trollsländevägen 18
        ","
            Fresta,
          Upplands Väsby kommun
        ","
                117 m²
             
              5 rum
          ","
              221 m² tomt
            ","
            Slutpris 4 400 000 kr
        ","
            Såld 9 november 2022
          "
"
          Malmsjövägen 27
        ","
            Uttran,
          Botkyrka kommun
        ","
                160
                ","
              1 133 m² tomt
            ","
            Slutpris 5 495 000 kr
        ","
            Såld 9 november 2022
          "
"
          Sprängarvägen 24
        ","
            Skärgårdsstad Östra,
          Österåkers kommun
        ","
                60 m²
             
              2 rum
          ","
              1 358 m² tomt
            ","
            Slutpris 2 850 000 kr
        ","
            Såld 9 november 2022
          "
"
          Steninge 6
        ","
            Ekerö Munsö,
          Ekerö kommun
        ","
                122
                ","
              1 858 m² tomt
            ","
            Slutpris 4 300 000 kr
        ","
            Såld 9 november 2022
          "
"
          Överbyvägen 111
        ","
            Djurö Överby,
          Värmdö kommun
        ","
                76
                ","
              4 055 m² tomt
            ","
            Slutpris 3 600 000 kr
        ","
            Såld 9 november 2022
          "
"
          Kryssvägen 29
        ","
            Norra Kopparmora,
          Värmdö kommun
        ","
                62
                ","
              2 002 m² tomt
            ","
            Slutpris 3 675 000 kr
        ","
            Såld 9 november 2022
          "
"
          Strömsuddsvägen 4
        ","
            Rådmansö - Infjärden,
          Norrtälje kommun
        ","
                50 m²
             
              2 rum
          ","
              2 009 m² tomt
            ","
            Slutpris 1 660 000 kr
        ","
            Såld 9 november 2022
          "
"
          Mörtviksvägen 86
        ","
            Ingarö - Hedvigsberg,
          Värmdö kommun
        ","
                123
                ","
              5 150 m² tomt
            ","
            Slutpris 6 250 000 kr
        ","
            Såld 8 november 2022
          "
"
          Bomullsvägen 12
        ","
            Kungsängen - Brunna,
          Upplands-Bro kommun
        ","
                154 m²
             
              6 rum
          ","
              471 m² tomt
            ","
            Slutpris 4 400 000 kr
        ","
            Såld 8 november 2022
          "
"
          Ängshalsvägen 2A
        ","
            Kynäs,
          Huddinge kommun
        ","
                168
                ","
              800 m² tomt
            ","
            Slutpris 7 000 000 kr
        ","
            Såld 8 november 2022
          "
"
          Ångermannagatan 97
        ","
            Råcksta,
          Stockholms kommun
        ","
                63
                ","
              476 m² tomt
            ","
            Slutpris 6 320 000 kr
        ","
            Såld 8 november 2022
          "
"
          Norruddsvägen 19
        ","
            Norra Sorunda,
          Nynäshamns kommun
        ","
                40 m²
             
              3 rum
          ","
              556 m² tomt
            ","
            Slutpris 1 695 000 kr
        ","
            Såld 8 november 2022
          "
"
          Jakthornsvägen 3
        ","
            Värmdövik,
          Värmdö kommun
        ","
                174 m²
             
              7 rum
          ","
              2 155 m² tomt
            ","
            Slutpris 7 100 000 kr
        ","
            Såld 8 november 2022
          "
"
          Klövervägen 5
        ","
            Jägartorp,
          Haninge kommun
        ","
                117
                ","
              927 m² tomt
            ","
            Slutpris 4 350 000 kr
        ","
            Såld 8 november 2022
          "
"
          Tranarövägen 41
        ","
            Barnviksnäs,
          Värmdö kommun
        ","
                90
                ","
              2 426 m² tomt
            ","
            Slutpris 4 800 000 kr
        ","
            Såld 8 november 2022
          "
